"scandal_id","title","artist","group","date","scandal_type","fandom_size","fandom_size_num","agency_tier","company_response","response_delay_days","apology","international","is_solo","prior_scandal","reaction_spike","label","label_binary","label_confidence","label_reasoning","notes"
75,"Kris Wu (EXO) accused of sexual assault, arrested in China","Kris Wu","EXO","2021-07-31","criminal","mega",4,3,2,3,0,1,0,0,-0.2263650328166457,"high","high",5,"Criminal arrest for sexual assault allegations with severity 5/5, mega fandom scale, and immediate international impact resulted in permanent career damage including group departure and ongoing legal consequences.","Sexual assault allegations, arrested in China"
76,"Soojin ((G)I-DLE) leaves group following school bullying allegations","Soojin","(G)I-DLE","2021-08-14","bullying","medium",2,2,0,14,0,1,0,0,3.13,"high","high",5,"Soojin's bullying scandal -- Former classmates alleged school bullying and drug use; Soojin denied claims but departed group after months of controversy. Resulting in severe, lasting career damage.","Former classmates alleged school bullying and drug use; Soojin denied claims but departed group after months of controversy"
77,"Bobby (iKON) announces surprise marriage and upcoming baby","Bobby","iKON","2021-08-23","dating","large",3,3,2,0,0,0,0,0,-2.103,"low","not_high",4,"Initial shock from fans but overwhelmingly positive public response to honest announcement; continued group and solo activities normally.","Handwritten letter announced marriage and upcoming child; fans initially shocked but largely supportive, continued group activities"
78,"Lucas (NCT/WayV) suspended after multiple women allege manipulation and gaslighting","Lucas","NCT","2021-08-25","behavior","mega",4,3,1,14,1,1,0,0,0.006,"medium","not_high",4,"Lucas's behavior scandal -- Multiple women posted allegations of simultaneous relationships and psychological manipulation; SM suspended activities, Lucas apologized, limited return later. Causing temporary career disruption but eventual recovery.","Multiple women posted allegations of simultaneous relationships and psychological manipulation; SM suspended activities, Lucas apologized, limited return later"
79,"U-KNOW Yunho (TVXQ) caught illegally visiting nightclub during COVID-19 restrictions","Yunho","TVXQ","2021-09-22","behavior","large",3,3,2,1,1,0,0,0,0.16,"medium","not_high",5,"Yunho's behavior scandal -- Visited adult entertainment venue violating COVID-19 social distancing rules; SM and Yunho issued apologies, promotional activities cancelled for months. Causing temporary career disruption but eventual recovery.","Visited adult entertainment venue violating COVID-19 social distancing rules; SM and Yunho issued apologies, promotional activities cancelled for months"
80,"Miyeon ((G)I-DLE) revealed to have previously dated former iKON member","Miyeon","(G)I-DLE","2022-01-15","dating","large",3,2,0,0,0,0,0,0,1.445,"low","not_high",5,"Historical relationship revelation with no current relevance; fans moved on quickly with no career impact.","Past relationship with former iKON member revealed; mild fan surprise but both had moved on, no impact on current activities"
81,"Jackson Wang (GOT7) faces international boycott over Chinese political merchandise","Jackson Wang","GOT7","2022-02-08","political","large",3,3,0,0,0,1,0,0,0.18,"medium","not_high",4,"Jackson Wang's political scandal -- Wore brand using imagery linked to Chinese propaganda at Winter Olympics; faced western fan boycott and criticism, lost some international endorsements. Causing temporary career disruption but eventual recovery.","Wore brand using imagery linked to Chinese propaganda at Winter Olympics; faced western fan boycott and criticism, lost some international endorsements"
82,"Lia (ITZY) accused of school bullying","Lia","ITZY","2022-02-14","bullying","large",3,3,2,3,0,1,0,0,0.9,"medium","not_high",4,"Extended hiatus from group activities but allegations remained unproven; JYP's strong defense preserved group position.","Anonymous school bullying allegations; JYP denied claims and threatened legal action, Lia took extended hiatus citing mental health"
83,"Soyeon ((G)I-DLE) accused of plagiarism for Tomboy","Soyeon","(G)I-DLE","2022-03-15","controversy","large",3,2,1,3,0,1,0,0,-0.281,"medium","not_high",4,"Plagiarism accusations generated temporary controversy but no legal findings; Tomboy remained a hit and career continued unaffected.","Hit song Tomboy accused of plagiarizing multiple tracks; Cube denied claims, no legal action taken, song remained on charts"
84,"Ravi (VIXX) indicted for military duty evasion through fake diagnosis","Ravi","VIXX","2022-05-18","criminal","medium",2,2,1,5,1,0,0,0,0.044,"high","high",5,"Ravi's criminal scandal -- Indicted for obtaining fraudulent medical certificates to avoid mandatory military service; career significantly impacted. Resulting in severe, lasting career damage.","Indicted for obtaining fraudulent medical certificates to avoid mandatory military service; career significantly impacted"
85,"Jessi faces criticism for blunt personality and behavior on variety shows","Jessi","Solo","2022-07-01","behavior","medium",2,1,0,0,0,0,1,1,1.073,"low","not_high",4,"Personality-driven criticism was ongoing but never escalated to a single crisis event; brand identity actually built around bluntness.","Recurring criticism for overly blunt and aggressive behavior on variety shows; some sponsors hesitant but core fanbase remained loyal"
86,"Kim Garam removed from LE SSERAFIM after bullying allegations","Kim Garam","LE SSERAFIM","2022-07-20","bullying","large",3,3,2,1,0,1,0,0,7.753,"high","high",5,"Removed from group months after debut despite agency's initial defense; school violence records made position untenable, career terminated.","Pre-debut bullying allegations escalated with school violence committee records; HYBE initially defended her but removed her from group within months of debut"
87,"Hueningkai (TXT) criticized over cultural sensitivity issue on social media","Hueningkai","TXT","2022-08-01","controversy","large",3,3,0,0,0,1,0,0,-1.163,"low","not_high",4,"Minor online controversy that resolved itself without any formal response; no measurable career impact.","Minor cultural sensitivity criticism on social media; resolved organically without agency involvement or apology"
88,"RM (BTS) accused of using connections to purchase restricted artwork","RM","BTS","2022-09-14","controversy","mega",4,3,1,2,0,0,0,0,-0.504,"low","not_high",4,"RM's controversy scandal -- Reports of purchasing government-restricted cultural artwork via connections; Big Hit denied impropriety, investigation found no violations, resolved quickly. With minimal lasting career impact.","Reports of purchasing government-restricted cultural artwork via connections; Big Hit denied impropriety, investigation found no violations, resolved quickly"
89,"OMEGA X members reveal CEO's physical abuse at concert venue","OMEGA X","OMEGA X","2022-11-01","criminal","medium",2,1,0,0,0,1,0,0,0.261,"medium","not_high",4,"Members were victims of CEO abuse; gained public sympathy and eventually reformed group under new management but lost significant career momentum.","Members publicly revealed CEO physically assaulted them at LA concert venue; video evidence circulated; members became victims fighting for contract freedom"
90,"LOONA members file injunctions against BlockBerry Creative","LOONA","LOONA","2022-11-30","contract","large",3,1,0,14,0,1,0,0,6.016,"medium","not_high",4,"Group effectively fractured as members departed, but some members continued careers under new agencies; not a complete career termination.","Multiple members filed contract suspension injunctions alleging mistreatment and unpaid wages; group fractured with members going separate ways"
91,"Lee Seunggi files lawsuit against Hook Entertainment over 18 years of withheld earnings","Lee Seunggi","Solo","2023-01-12","contract","mega",4,1,0,0,0,0,1,0,4.742,"medium","not_high",4,"Lee Seunggi's contract scandal -- Lee Seunggi was the victim; agency Hook allegedly withheld music royalties for 18 years; public sympathy but disrupted scheduled activities. Causing temporary career disruption but eventual recovery.","Lee Seunggi was the victim; agency Hook allegedly withheld music royalties for 18 years; public sympathy but disrupted scheduled activities"
92,"Chaeyoung (TWICE) photographed wearing shirt with Nazi symbol","Chaeyoung","TWICE","2023-02-10","controversy","mega",4,3,2,1,1,1,0,0,-3.641,"medium","not_high",4,"Swift apology and agency response contained the fallout; TWICE's strong fandom base absorbed the controversy without lasting career impact.","Wore shirt featuring Sid Vicious with swastika at airport; JYP and Chaeyoung issued immediate apologies, international backlash was significant but brief"
93,"DK (SEVENTEEN) confirmed dating actress Lee Miyeon","DK","SEVENTEEN","2023-02-20","dating","mega",4,3,2,0,0,0,0,0,0.975,"low","not_high",5,"Quickly confirmed by agency with minimal fan backlash; SEVENTEEN's strong fandom loyalty absorbed the news easily.","Dispatch revealed relationship; Pledis confirmed quickly, CARAT fandom mostly supportive, no promotional disruption"
94,"Sunghoon (ENHYPEN) dating rumors denied by agency","Sunghoon","ENHYPEN","2023-03-01","dating","large",3,3,2,0,0,0,0,0,-4.352,"low","not_high",5,"Unsubstantiated rumors quickly denied by agency; resolved within days with zero impact on ENHYPEN promotions.","Dating rumors circulated online; BELIFT Lab denied quickly, controversy resolved within days with no evidence"
95,"EXO-CBX file injunction against SM Entertainment over exclusive contracts","EXO-CBX","EXO","2023-04-26","contract","mega",4,3,0,0,0,1,0,0,0.0,"high","high",4,"EXO-CBX's contract scandal -- Baekhyun, Xiumin, Chen filed injunction to invalidate exclusive contracts citing unfair terms; public dispute with SM over years of royalty issues. Resulting in severe, lasting career damage.","Baekhyun, Xiumin, Chen filed injunction to invalidate exclusive contracts citing unfair terms; public dispute with SM over years of royalty issues"
96,"Taemin (SHINee) booked for drunk driving in Seoul","Taemin","SHINee","2023-05-18","criminal","large",3,3,2,1,1,0,0,0,-0.176,"medium","not_high",5,"Taemin's criminal scandal -- Pulled over at DUI checkpoint, blood alcohol above legal limit; SM issued apology, promotional activities suspended, public recovered support over months. Causing temporary career disruption but eventual recovery.","Pulled over at DUI checkpoint, blood alcohol above legal limit; SM issued apology, promotional activities suspended, public recovered support over months"
97,"FIFTY FIFTY contract dispute with Attrakt collapses group","FIFTY FIFTY","FIFTY FIFTY","2023-06-15","contract","medium",2,1,0,3,0,1,0,0,0.904,"high","high",5,"Contract dispute at peak commercial moment destroyed group continuity; members scattered, viral success of Cupid could not be sustained.","Members filed injunction to terminate contracts at peak of global Cupid success; legal battle resulted in group effectively disbanding"
98,"Kim Jisoo (BLACKPINK) dating Ahn Bo-hyun confirmed","Jisoo","BLACKPINK","2023-07-31","dating","mega",4,3,1,1,0,1,0,0,0.7207792207792206,"low","not_high",5,"Low severity dating scandal with mega fandom protection, immediate agency response, negative reaction spike already absorbed, and historical precedent of quick recovery for BLACKPINK member relationship announcements.","Dating confirmed, low controversy, short relationship"
99,"X1 disbanded after Produce 101 vote manipulation scandal exposed","X1","X1","2019-11-05","controversy","medium",2,2,1,21,1,1,0,0,5.2,"high","high",5,"X1's controversy scandal -- Produce 101 vote manipulation exposed; group disbanded January 2020 after one album, producers convicted and jailed. Resulting in severe, lasting career damage.","Mnet producers convicted of manipulating votes across all 4 seasons of Produce 101; X1 disbanded; IZ*ONE went on extended hiatus. reaction_spike is estimated."
100,"GLAM's Dahee arrested for blackmailing actor Lee Byung-hun","Dahee","GLAM","2014-09-01","criminal","medium",2,1,0,1,0,0,0,0,6.1,"high","high",5,"Dahee's criminal scandal -- Arrested for attempting to blackmail actor Lee Byung-hun for 5 billion won; sentenced to one year in prison, GLAM permanently disbanded. Resulting in severe, lasting career damage.","GLAM member Dahee and model Lee Ji-yeon attempted to extort actor Lee Byung-hun for 5 billion won; both sentenced to prison; group disbanded. reaction_spike is estimated."
101,"Park Yoochun (JYJ) arrested for methamphetamine use after publicly denying drug involvement","Park Yoochun","JYJ","2019-04-26","drugs","medium",2,2,0,1,1,1,0,1,3.1,"high","high",5,"Park Yoochun's drugs scandal -- Tested positive for methamphetamine after publicly denying drug use at press conference; contract terminated by C-JeS Entertainment, sentenced to 2 years probation. Resulting in severe, lasting career damage.","Second major scandal after 2016 sexual assault allegations; held press conference denying drugs then tested positive; contract terminated. reaction_spike is estimated."
102,"Daesung (BIGBANG) building found to house illegal businesses during Burning Sun era","Daesung","BIGBANG","2019-05-27","controversy","large",3,3,1,3,1,1,0,1,1.8,"low","not_high",4,"Daesung's controversy scandal -- Building found to house illegal businesses during Burning Sun era; apologized for negligence as owner, no personal criminal charges. Causing temporary career disruption but eventual recovery.","Building owned by Daesung found to house illegal businesses including unlicensed adult entertainment; during Burning Sun scandal era; not personally charged. reaction_spike is estimated."
103,"Karina (aespa) dating actor Lee Jae-wook sparks massive fan backlash and protest trucks","Karina","aespa","2024-02-27","dating","large",3,3,1,0,1,1,0,0,5.8,"low","not_high",5,"Karina's dating scandal -- Relationship with actor Lee Jae-wook revealed by Dispatch; protest trucks sent to SM, massive international backlash, handwritten apology issued. With minimal lasting career impact.","Dispatch revealed dating with actor Lee Jae-wook; protest trucks sent to SM HQ; Karina wrote handwritten apology; relationship ended after 5 weeks; career fully recovered. reaction_spike is estimated."
